Timestamp,Tweets_per_second,EMA,Growth,Threshold
1402609592,9,9.03207827,0.09345583801,1.5
1402609593,7,8.662609493,0.05476587743,1.5
1402609594,9,8.723953222,-0.05840092444,1.5
1402609595,5,8.046870818,-0.07202134681,1.5
1402609596,10,8.401985215,-0.03769923003,1.5
1402609597,13,9.237987903,0.03081329994,1.5
1402609598,10,9.376535557,0.06709625809,1.5
1402609599,8,9.126256365,0.03405500899,1.5
1402609600,12,9.648755208,0.06743384111,1.5
1402609601,4,8.621708806,-0.04543466646,1.5
1402609602,10,8.872307205,0.02420722206,1.5
1402609603,9,8.895524077,0.01966664087,1.5
1402609604,3,7.823610608,-0.0277449725,1.5
1402609605,3,6.946590498,-0.1732203378,1.5
1402609606,8,7.138119498,-0.2273079838,1.5
1402609607,9,7.476643226,-0.202621994,1.5
1402609608,6,7.208162639,-0.2101731147,1.5
1402609609,5,6.806678523,-0.2945537143,1.5
1402609610,5,6.478191519,-0.2486186133,1.5
1402609611,11,7.300338515,-0.1771769905,1.5
1402609612,8,7.427549694,-0.1650239345,1.5
1402609613,12,8.258904295,0.05563846527,1.5
1402609614,5,7.666376242,0.1036171262,1.5
1402609615,3,6.817944198,-0.04485429257,1.5
1402609616,10,7.396499798,-0.01071917238,1.5
1402609617,9,7.688045289,0.06657489213,1.5
1402609618,3,6.835673419,0.00425977156,1.5
1402609619,7,6.865550979,0.05979438226,1.5
1402609620,5,6.526359892,-0.1060195527,1.5
1402609621,8,6.794294457,-0.08525762379,1.5
1402609622,13,7.922604556,-0.04071965575,1.5
1402609623,9,8.118494636,0.05897419856,1.5
1402609624,7,7.915131975,0.1609264825,1.5
1402609625,9,8.112380707,0.09678644337,1.5
1402609626,8,8.091947851,0.05253644413,1.5
1402609627,12,8.802502787,0.2877301545,1.5
1402609628,8,8.65659319,0.2608737764,1.5
1402609629,7,8.355394428,0.280253398,1.5
1402609630,8,8.290777259,0.2202558061,1.5
1402609631,13,9.146999576,0.1545445076,1.5
1402609632,15,10.21118147,0.257767841,1.5
1402609633,10,10.17278484,0.2852324979,1.5
1402609634,7,9.595914869,0.1828728478,1.5
1402609635,4,8.578475802,0.06012494886,1.5
1402609636,11,9.018752929,0.0245668927,1.5
1402609637,6,8.46988876,-0.02156788769,1.5
1402609638,13,9.293545349,0.1122808659,1.5
1402609639,9,9.240173467,0.1145123284,1.5
1402609640,6,8.651051019,-0.05421980758,1.5
1402609641,10,8.89631447,-0.1287673718,1.5
1402609642,14,9.824257294,-0.03426078029,1.5
1402609643,8,9.492574149,-0.01076924099,1.5
1402609644,17,10.85756067,0.2656748026,1.5
1402609645,4,9.610731455,0.06563862334,1.5
1402609646,10,9.681507554,0.1430501425,1.5
1402609647,8,9.375778908,0.008848459435,1.5
1402609648,7,8.943819107,-0.03207238066,1.5
1402609649,9,8.954033815,0.03502265737,1.5
1402609650,7,8.598754939,-0.03344750591,1.5
1402609651,7,8.308072223,-0.1543307576,1.5
1402609652,13,9.161150001,-0.0349140437,1.5
1402609653,10,9.313668182,-0.1421951516,1.5
1402609654,11,9.620273967,0.0009929017442,1.5
1402609655,6,8.962042337,-0.07431334566,1.5
1402609656,6,8.423489185,-0.1015691318,1.5
1402609657,7,8.164672969,-0.08711559659,1.5
1402609658,6,7.771096066,-0.1321122718,1.5
1402609659,9,7.994533145,-0.07026852128,1.5
1402609660,12,8.722799846,0.04991863475,1.5
1402609661,9,8.773199874,-0.0423473174,1.5
1402609662,3,7.723527169,-0.1707319803,1.5
1402609663,6,7.410158593,-0.2297351803,1.5
1402609664,6,7.153766122,-0.2017705504,1.5
1402609665,12,8.034899554,-0.04613167087,1.5
1402609666,6,7.664917817,-0.06120945128,1.5
1402609667,7,7.544023668,-0.02922012486,1.5
1402609668,3,6.717837547,-0.1596960791,1.5
1402609669,7,6.769139811,-0.2239716684,1.5
1402609670,5,6.447478027,-0.2650939087,1.5
1402609671,7,6.547936568,-0.152209033,1.5
1402609672,12,7.539220828,0.0174169329,1.5
1402609673,11,8.168453405,0.1418395941,1.5
1402609674,12,8.86509824,0.1033240902,1.5
1402609675,8,8.707807651,0.1360601456,1.5
1402609676,6,8.215478987,0.0890049327,1.5
1402609677,4,7.449028262,0.1088431672,1.5
